Total Lessons: 9
ID: 62 | Grade: 6 | Title: 4.1. Санды теңдіктер. Тура санды теңдіктердің қасиеттері | TheoryLen: 5313
ID: 64 | Grade: 6 | Title: 4.2 Бір айнымалысы бар сызықтық теңдеу. Мәндес теңдеулер. Бір айнымалысы  бар сызықтық теңдеулерді шешу    | TheoryLen: 5467
ID: 65 | Grade: 6 | Title: 4.3 Айнымалысы модуль таңбасының ішінде берілген бір айнымалысы бар сызықтық теңдеулер | TheoryLen: 5088
ID: 66 | Grade: 6 | Title: 4.4 Теңдеулер көмегімен мәтінді есептерді шығару | TheoryLen: 6627
ID: 67 | Grade: 6 | Title: 5.1 Санды теңсіздіктер | TheoryLen: 5390
ID: 68 | Grade: 6 | Title: 5.2. Санды теңсіздіктердің қасиеттері | TheoryLen: 10401
ID: 69 | Grade: 6 | Title: 5.3 Сан  аралықтары | TheoryLen: 6180
ID: 70 | Grade: 6 | Title: 5.4. Сан аралықтарының бірігуі мен қиылысуы | TheoryLen: 5596
ID: 71 | Grade: 6 | Title: 5.5. Бір айнымалысы бар сызықтық теңсіздік. Мәндес теңсіздіктер. Бір айнымалысы бар сызықтық  теңсіздіктерді шешу | TheoryLen: 3826
ID: 72 | Grade: 6 | Title: 6.1. Жазықтық. Қиылысатын түзулер | TheoryLen: 0
ID: 72 | Grade: 6 | Title: 6.1. Жазықтық. Қиылысатын түзулер | TheoryLen: 0
